iter	Passed	Remaining
801	19851	475209
802	19877	475209
803	19899	475118
804	19920	474995
805	19943	474920
806	19964	474822
807	19989	474792
808	20011	474719
809	20038	474733
810	20061	474681
811	20084	474602
812	20108	474561
813	20129	474461
814	20150	474329
815	20169	474180
816	20192	474112
817	20215	474041
818	20237	473973
819	20260	473887
820	20282	473798
821	20303	473700
822	20324	473584
823	20348	473539
824	20370	473452
825	20392	473369
826	20414	473295
827	20437	473221
828	20461	473180
829	20485	473145
830	20508	473066
831	20529	472974
832	20554	472945
833	20579	472922
834	20604	472913
835	20628	472881
836	20649	472773
837	20670	472650
838	20692	472576
839	20714	472494
840	20738	472442
841	20763	472423
842	20790	472462
843	20820	472547
844	20843	472496
845	20867	472446
846	20891	472420
847	20918	472450
848	20943	472433
849	20966	472356
850	20990	472323
851	21015	472299
852	21044	472371
853	21068	472344
854	21093	472322
855	21117	472290
856	21143	472292
857	21170	472308
858	21197	472335
859	21222	472316
860	21244	472242
861	21268	472193
862	21291	472130
863	21313	472049
864	21334	471957
865	21356	471859
866	21375	471709
867	21397	471642
868	21420	471566
869	21442	471480
870	21465	471429
871	21485	471309
872	21509	471254
873	21533	471218
874	21557	471177
875	21587	471269
876	21607	471156
877	21631	471114
878	21654	471047
879	21678	471009
880	21703	470990
881	21727	470955
882	21751	470930
883	21773	470844
884	21797	470806
885	21820	470749
886	21844	470711
887	21868	470655
888	21891	470606
889	21917	470601
890	21939	470525
891	21963	470481
892	21986	470433
893	22007	470331
894	22029	470248
895	22051	470169
896	22074	470108
897	22097	470051
898	22121	470004
899	22147	470028
900	22173	470020
901	22194	469918
902	22215	469818
903	22238	469773
904	22259	469658
905	22282	469595
906	22305	469540
907	22327	469469
908	22349	469381
909	22372	469340
910	22395	469264
911	22418	469221
912	22442	469173
913	22463	469079
914	22483	468959
915	22504	468851
916	22525	468756
917	22548	468702
918	22569	468613
919	22592	468551
920	22616	468504
921	22638	468433
922	22657	468301
923	22679	468213
924	22701	468139
925	22727	468150
926	22751	468108
927	22779	468159
928	22800	468055
929	22823	467999
930	22847	467964
931	22874	467996
932	22898	467956
933	22924	467959
934	22959	468146
935	22982	468101
936	23011	468161
937	23037	468171
938	23061	468131
939	23086	468123
940	23112	468121
941	23146	468293
942	23173	468316
943	23198	468292
944	23217	468151
945	23236	468027
946	23258	467936
947	23280	467867
948	23305	467858
949	23329	467817
950	23351	467740
951	23373	467660
952	23396	467613
953	23420	467568
954	23442	467490
955	23463	467400
956	23481	467259
957	23502	467147
958	23526	467128
959	23559	467259
960	23583	467231
961	23612	467286
962	23636	467258
963	23660	467212
964	23682	467155
965	23705	467086
966	23730	467079
967	23758	467114
968	23780	467042
969	23804	467011
970	23830	467007
971	23854	466980
972	23878	466945
973	23900	466873
974	23920	466764
975	23944	466729
976	23967	466666
977	23989	466600
978	24013	466550
979	24034	466456
980	24057	466420
981	24078	466317
982	24100	466244
983	24125	466236
984	24149	466204
985	24171	466132
986	24198	466154
987	24222	466116
988	24246	466070
989	24271	466058
990	24297	466060
991	24323	466064
992	24353	466154
993	24380	466167
994	24406	466182
995	24431	466164
996	24465	466310
997	24490	466306
998	24516	466303
999	24540	466273
1000	24566	466272
1001	24590	466242
1002	24617	466264
1003	24642	466250
1004	24666	466215
1005	24692	466207
1006	24713	466118
1007	24734	466027
1008	24754	465923
1009	24777	465862
1010	24798	465777
1011	24818	465665
1012	24846	465708
1013	24872	465708
1014	24899	465729
1015	24926	465755
1016	24966	466016
1017	24993	466042
1018	25022	466089
1019	25044	466021
1020	25064	465907
1021	25084	465807
1022	25114	465890
1023	25138	465842
1024	25160	465781
1025	25186	465775
1026	25213	465792
1027	25244	465895
1028	25269	465873
1029	25292	465819
1030	25316	465794
1031	25338	465721
1032	25363	465706
1033	25386	465642
1034	25407	465560
1035	25430	465506
1036	25453	465446
1037	25476	465406
1038	25499	465341
